5 min - 100 users - initial (200 Order placements / min)
14:54:54:3140 queued=0, executed=0, deposits=99, withdrawals=0, placements=0
14:54:54:3290 queued=0, executed=0, deposits=198, withdrawals=0, placements=1
14:54:54:7480 queued=0, executed=0, deposits=202, withdrawals=21, placements=76
14:54:55:0360 queued=11, executed=4, deposits=210, withdrawals=57, placements=117
14:54:55:2720 queued=28, executed=11, deposits=224, withdrawals=93, placements=143
14:54:55:4800 queued=33, executed=17, deposits=236, withdrawals=126, placements=187
14:54:55:7950 queued=46, executed=18, deposits=238, withdrawals=167, placements=230
14:54:56:1520 queued=54, executed=29, deposits=260, withdrawals=201, placements=255
14:54:56:9350 queued=78, executed=40, deposits=282, withdrawals=238, placements=261
14:54:58:0320 queued=119, executed=48, deposits=298, withdrawals=263, placements=271
14:54:58:9630 queued=139, executed=59, deposits=320, withdrawals=282, placements=299
14:54:59:9310 queued=151, executed=73, deposits=346, withdrawals=308, placements=321
14:55:01:1070 queued=169, executed=85, deposits=370, withdrawals=334, placements=341
14:55:02:1250 queued=179, executed=104, deposits=410, withdrawals=351, placements=355
14:55:03:8460 queued=183, executed=113, deposits=428, withdrawals=377, placements=398
14:55:05:8940 queued=205, executed=125, deposits=448, withdrawals=404, placements=417
14:55:08:2270 queued=220, executed=135, deposits=472, withdrawals=433, placements=439
14:55:10:7260 queued=229, executed=150, deposits=502, withdrawals=454, placements=464
14:55:13:7980 queued=244, executed=162, deposits=526, withdrawals=481, placements=486
14:55:16:7850 queued=252, executed=179, deposits=560, withdrawals=495, placements=513
14:55:20:2500 queued=263, executed=192, deposits=586, withdrawals=522, placements=536
14:55:24:6630 queued=275, executed=202, deposits=606, withdrawals=551, placements=565
14:55:30:5510 queued=292, executed=208, deposits=618, withdrawals=586, placements=595
14:55:37:3290 queued=314, executed=218, deposits=638, withdrawals=612, placements=617
14:55:43:6140 queued=323, executed=233, deposits=668, withdrawals=635, placements=640
14:55:50:3050 queued=333, executed=247, deposits=696, withdrawals=657, placements=666
14:55:58:0160 queued=343, executed=261, deposits=722, withdrawals=681, placements=692
14:56:07:2140 queued=362, executed=273, deposits=748, withdrawals=704, placements=712
14:56:17:1720 queued=377, executed=284, deposits=770, withdrawals=729, placements=739
14:56:29:4130 queued=396, executed=292, deposits=785, withdrawals=762, placements=764
14:56:40:9510 queued=406, executed=306, deposits=814, withdrawals=784, placements=789
14:56:53:4960 queued=419, executed=320, deposits=842, withdrawals=806, placements=812
14:57:07:7930 queued=434, executed=332, deposits=866, withdrawals=832, placements=835
14:57:21:8080 queued=447, executed=348, deposits=894, withdrawals=855, placements=855
14:57:35:7210 queued=454, executed=361, deposits=924, withdrawals=875, placements=885
14:57:52:4010 queued=475, executed=373, deposits=946, withdrawals=902, placements=903
14:58:09:0310 queued=488, executed=385, deposits=972, withdrawals=927, placements=927
14:58:25:7360 queued=500, executed=400, deposits=1001, withdrawals=948, placements=950
14:58:44:7740 queued=513, executed=411, deposits=1024, withdrawals=974, placements=977
14:59:02:6460 queued=528, executed=427, deposits=1053, withdrawals=994, placements=997
14:59:21:5680 queued=541, executed=439, deposits=1080, withdrawals=1019, placements=1020

1 min - 100 users - concurrency improvement - do not check unconflictable events -> improvement factor 5 (1000 Order Placements / min)
15:36:04:1400 queued=0, executed=0, deposits=99, withdrawals=0, placements=0
15:36:04:1660 queued=0, executed=0, deposits=199, withdrawals=0, placements=0
15:36:04:2190 queued=0, executed=0, deposits=202, withdrawals=0, placements=97
15:36:04:2760 queued=0, executed=0, deposits=202, withdrawals=0, placements=197
15:36:04:3320 queued=0, executed=0, deposits=202, withdrawals=95, placements=202
15:36:04:4740 queued=0, executed=0, deposits=202, withdrawals=195, placements=202
15:36:04:6310 queued=93, executed=0, deposits=202, withdrawals=202, placements=202
15:36:04:8230 queued=192, executed=1, deposits=202, withdrawals=202, placements=202
15:36:05:0010 queued=192, executed=15, deposits=232, withdrawals=228, placements=232
15:36:05:2490 queued=192, executed=32, deposits=263, withdrawals=255, placements=257
15:36:05:5730 queued=192, executed=46, deposits=293, withdrawals=283, placements=285
15:36:06:2990 queued=192, executed=59, deposits=320, withdrawals=314, placements=314
15:36:07:1450 queued=192, executed=74, deposits=349, withdrawals=342, placements=342
15:36:07:9500 queued=192, executed=89, deposits=380, withdrawals=368, placements=370
15:36:08:8300 queued=192, executed=105, deposits=412, withdrawals=394, placements=396
15:36:09:8260 queued=192, executed=121, deposits=442, withdrawals=422, placements=422
15:36:10:8090 queued=192, executed=136, deposits=474, withdrawals=448, placements=449
15:36:11:9560 queued=192, executed=151, deposits=504, withdrawals=475, placements=477
15:36:13:4160 queued=192, executed=165, deposits=532, withdrawals=504, placements=506
15:36:14:8440 queued=192, executed=180, deposits=562, withdrawals=530, placements=535
15:36:16:6470 queued=192, executed=195, deposits=592, withdrawals=559, placements=561
15:36:17:6420 queued=192, executed=210, deposits=622, withdrawals=587, placements=588
15:36:19:6590 queued=192, executed=225, deposits=652, withdrawals=615, placements=615
15:36:22:1270 queued=192, executed=241, deposits=684, withdrawals=638, placements=644
15:36:24:3980 queued=192, executed=257, deposits=716, withdrawals=666, placements=668
15:36:27:1170 queued=192, executed=273, deposits=748, withdrawals=693, placements=693
15:36:29:4960 queued=192, executed=289, deposits=780, withdrawals=717, placements=721
15:36:32:2290 queued=192, executed=305, deposits=812, withdrawals=743, placements=747
15:36:35:1500 queued=192, executed=320, deposits=842, withdrawals=772, placements=773
15:36:38:3930 queued=192, executed=336, deposits=872, withdrawals=799, placements=800
15:36:41:2210 queued=192, executed=350, deposits=902, withdrawals=827, placements=828
15:36:44:4530 queued=192, executed=365, deposits=932, withdrawals=855, placements=855
15:36:48:3560 queued=192, executed=381, deposits=962, withdrawals=881, placements=883
15:36:52:6870 queued=192, executed=397, deposits=994, withdrawals=905, placements=911
15:36:57:4180 queued=192, executed=411, deposits=1023, withdrawals=936, placements=937
15:37:01:7810 queued=192, executed=426, deposits=1054, withdrawals=963, placements=964
15:37:06:0000 queued=192, executed=442, deposits=1086, withdrawals=987, placements=992
